Postal Code,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,X,Y,
689103,499.3,446.1,460.2,582.9,507.4,593.6,593.5,684.8,625.2,468.3,549.0,522.2,18887.1246,42279.579,
689093,470.2,376.1,407.2,522.7,475.9,557.4,560.3,610.9,577.0,451.9,524.4,505.2,18903.6678,42181.5764,
659246,432.6,377.4,395.4,557.4,448.6,544.4,497.5,471.5,496.1,489.5,484.2,381.2,18987.0865,37485.71,
659245,437.0,423.2,421.8,588.8,461.3,562.8,510.0,510.8,517.1,526.1,486.2,404.4,19007.2094,37535.9451,
127470,468.5,527.1,500.7,553.4,774.2,631.8,685.6,719.5,632.6,694.3,777.9,750.8,19021.5615,33199.6379,
659244,649.2,641.6,632.9,814.7,669.2,810.7,716.4,734.6,779.5,720.6,740.3,583.7,19035.5267,37572.1937,
659247,423.4,369.7,387.7,515.0,417.4,490.3,462.3,437.3,448.8,451.5,426.0,349.9,19035.9545,37437.6874,
127472,432.6,470.8,446.1,487.0,619.0,516.2,570.8,587.7,472.5,539.9,622.7,586.9,19056.3772,33262.621,
127468,529.5,584.5,595.8,609.0,825.9,701.9,779.1,803.1,612.0,729.1,798.6,753.2,19067.3881,33181.788,
127724,413.5,439.3,402.6,460.4,621.9,530.5,541.7,560.1,441.8,495.4,583.1,532.8,19075.4419,33346.3332,
659248,590.4,508.3,553.0,747.4,610.5,765.5,670.9,648.5,686.5,609.6,601.9,539.4,19076.8194,37441.0024,
127723,401.7,410.8,378.7,440.7,561.9,477.8,603.6,569.4,475.7,499.9,559.7,553.7,19091.8998,33356.7107,
127474,413.1,469.3,484.0,515.9,752.8,617.0,671.8,679.4,524.9,622.2,754.9,689.8,19099.1235,33274.0302,
127649,497.5,500.7,429.9,474.7,652.6,561.2,627.0,642.4,539.3,610.1,600.0,608.5,19103.7249,33460.5088,
677945,s,s,s,s,s,s,s,s,s,s,s,s,19109.7544,42065.6777,
127647,486.9,486.2,427.9,494.7,845.4,660.4,642.9,699.4,560.9,655.0,652.8,676.0,19120.0707,33367.1153,
127466,485.6,501.4,500.6,547.8,697.8,576.8,637.6,676.9,586.6,631.8,648.7,649.1,19124.5466,33183.7968,
