Postal Code,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,X,Y
424210,437.2,643.3,963.3,803.4,975.8,"1,106.8",813.2,852.0,"1,010.2",874.2,895.3,763.4,37165.3323,32296.3659
429079,"2,024.5","1,770.3","1,713.5","2,268.0","2,024.5","2,301.3","2,127.5","1,743.8","1,793.0","2,167.5","2,185.3","1,458.0",37167.6758,32493.3506
429080,"1,029.5","1,039.8",934.3,"1,056.3","1,012.3","1,252.5","1,113.8",995.0,"1,745.3",954.8,"1,153.8",596.5,37167.6758,32493.3506
425576,s,s,s,s,s,s,s,s,s,s,s,s,37184.6384,32751.7716
425577,s,s,-,s,s,s,s,s,s,s,s,s,37184.6384,32751.7716
425578,-,s,s,s,s,s,s,s,s,s,s,s,37184.6384,32751.7716
424211,354.8,470.1,610.0,582.7,758.9,729.5,797.1,763.4,857.2,842.6,614.9,761.6,37194.974,32314.0712
429081,373.0,287.1,295.7,431.9,360.5,477.4,430.2,468.4,366.5,522.7,491.8,295.6,37196.5323,32519.5407
418544,s,s,s,s,s,s,s,s,s,s,s,s,37197.4832,33931.7778
418423,s,s,s,s,s,s,s,s,s,s,s,s,37200.4717,34464.8691
423423,327.7,258.8,271.1,350.5,337.7,365.4,374.0,398.4,295.7,359.3,319.2,326.8,37204.8492,32481.6359
424212,377.8,513.9,674.4,594.2,641.5,711.8,668.8,711.3,792.7,818.7,669.5,758.6,37208.0994,32279.1685
424214,536.8,704.0,"1,000.6",832.8,945.5,964.5,879.5,795.6,882.0,791.9,781.5,"1,026.2",37208.3509,32190.6305
425403,454.9,593.6,677.8,657.8,801.4,805.8,856.4,830.0,686.8,734.0,807.2,835.9,37209.3826,32640.3335
425253,367.2,401.7,639.7,512.9,675.4,644.4,699.9,642.4,626.7,623.3,572.0,611.2,37224.2406,32583.2594
425251,467.6,502.0,555.7,583.3,715.0,717.5,614.6,689.5,696.1,608.8,583.8,701.5,37238.0636,32586.1435
424213,426.8,627.2,807.5,707.6,871.7,926.7,731.4,801.4,988.8,989.1,753.2,915.7,37241.3131,32202.3082
425249,992.3,961.3,"1,190.7","1,179.3","1,083.3","1,359.7","1,266.0","1,237.0","1,265.0","1,343.0","1,180.3","1,302.7",37243.3359,32535.9096
425250,838.7,825.3,"1,000.0",s,"1,287.7","1,436.3","1,280.0","1,246.7","1,099.0","1,298.0","1,159.0","1,279.3",37243.3359,32535.9096
418434,-,-,-,-,-,s,s,s,s,s,s,s,37248.8399,34246.1342
418453,s,s,s,s,s,s,s,s,s,s,s,s,37249.431,34251.8902
418462,s,s,s,s,s,s,s,s,s,s,s,s,37251.4129,34278.6596
429083,"1,116.0","1,354.0","1,387.0","1,469.0","1,660.3","1,729.7","2,054.0","1,826.3","1,269.0","1,576.7","1,578.7","1,681.3",37257.8296,32501.6318
429084,672.7,794.7,977.7,944.3,"1,095.7","1,129.0","1,067.7","1,041.7","1,280.0","1,184.3","1,021.3","1,180.3",37257.8296,32501.6318
425252,375.4,463.1,492.6,477.8,639.3,605.9,683.3,644.9,614.0,609.1,626.8,603.2,37260.5477,32547.1531
425259,111.6,97.2,199.9,224.1,281.7,220.9,277.3,293.7,318.3,333.1,359.5,358.8,37263.6199,32603.2564
425261,588.9,668.8,626.3,614.5,771.0,775.7,819.8,845.9,867.7,827.5,784.5,749.3,37272.1441,32519.2424
418874,s,s,s,s,s,s,s,s,s,s,s,s,37282.716,34254.6936
418875,s,s,s,s,s,s,s,s,s,s,s,s,37282.7457,34247.7052
418872,s,s,s,s,s,s,s,s,s,s,s,s,37283.4063,34268.6959
418871,s,s,s,s,s,s,s,s,s,s,s,s,37283.425,34275.8437
418870,s,s,s,s,s,s,s,s,s,s,s,s,37284.4123,34282.8206
457931,s,s,s,s,s,s,s,s,s,s,s,s,37300.0748,32885.1327
425262,709.0,772.5,752.3,762.5,915.1,927.3,776.8,922.2,727.6,857.0,770.3,827.7,37303.3993,32514.0247
418882,s,s,s,s,s,s,s,s,s,s,s,s,37313.9647,34274.7071
418886,s,s,s,s,s,s,s,s,s,s,s,s,37319.0595,34249.4767
418885,s,s,s,s,s,s,s,s,s,s,s,s,37320.5995,34274.338
828800,230.4,207.5,226.8,227.2,349.5,280.8,296.9,327.3,292.9,324.8,398.2,328.1,37324.109,42209.548
418889,s,s,s,s,s,s,s,s,s,s,s,s,37326.0024,34248.4968
418890,s,s,s,s,s,s,s,s,s,s,s,s,37334.5985,34274.1442
828799,278.3,239.5,223.9,239.6,368.2,299.4,308.2,332.9,330.5,344.3,387.3,328.0,37349.2092,42198.8375
418897,s,s,s,s,s,s,s,s,s,s,s,s,37354.0454,34247.6064
828794,245.7,229.4,332.3,284.3,468.7,372.2,461.8,452.3,398.5,440.4,425.2,402.9,37354.7985,42249.8454
828798,279.0,235.0,228.0,243.9,384.7,310.9,324.2,347.5,310.4,334.5,389.4,329.2,37374.4494,42173.8141
