Po0tal Code,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,0ep,Oct,Nov,Dec,X,Y
98657,733.4,469.3,613.6,734.3,662.6,721.3,698.3,600.5,667.9,544.9,708.9,726.9,25917.2871,27763.8623
98404,790.5,437.9,578.8,698.3,676.5,721.6,737.9,700.4,764.4,599.5,786.1,859.7,25813.4186,27771.211
98403,873.1,587,735.6,889.4,801.3,761.3,814.5,868.6,894.1,693.6,906,899,25862.5534,27804.6217
98635,667.9,433.9,566.2,638.4,517.1,614.1,605.7,600,690.7,592.3,680.9,719.5,25958.1773,27817.8087
98402,762.6,529.3,682.5,957.1,781.7,896.2,828.8,837.9,922.4,526.9,787,926,25892.2693,27852.4581
99200,"1,108.80",750.2,935,"1,065.20",970,"1,025.90","1,067.80",983,"1,075.70",881.7,"1,099.40","1,095.50",27033.6438,27934.0732
99110,0,0,0,0,0,0,0,0,0,0,0,0,26551.4234,27957.9264
99112,0,0,0,0,0,0,0,0,0,0,0,0,26551.4234,27957.9264
99106,0,0,0,0,0,0,0,0,0,0,0,0,26479.1374,27971.8975
99108,353,0,0,0,0,0,0,0,0,0,0,0,26479.1374,27971.8975
99228,295.6,243.6,274.2,300.4,278,311.2,319.6,409.4,394.4,283,366.6,153.8,25949.0252,28032.4018
98843,0,0,0,0,0,0,0,0,0,0,0,0,25791.1864,28049.0315
98844,0,0,0,0,0,0,0,0,0,0,0,0,25786.977,28053.3027
98845,0,0,0,0,0,0,0,0,0,0,0,0,25782.0419,28056.4354
98846,-,-,-,-,-,-,-,0,0,0,0,0,25777.1431,28059.5451
98847,0,0,0,0,0,0,0,0,0,0,0,0,25772.1224,28062.7345
98849,0,0,0,0,0,0,0,0,0,0,0,0,25757.0608,28071.4874
98851,0,0,0,0,0,0,0,0,0,0,0,0,25746.5497,28078.3468
98748,261,143.6,206.1,258.9,252.2,262.6,318.4,292.1,349.3,237.7,311.9,271.8,25846.3535,28094.406
99209,578.2,360,475.8,545.2,481.2,593.4,561,541.6,596.4,412.9,574.2,687.9,27042.0304,28096.2032
99208,631.3,391.3,517.6,633.1,557.4,685.3,666.1,579,634.6,551.4,647.4,669.1,27030.4787,28097.2982
98749,226.5,161.3,201.4,245.8,239.2,296.1,306.5,319,314,275.7,330.8,245.4,25808.6215,28118.0153
98752,199,156.4,224,274.8,254.4,288.1,310.3,332.8,367.9,266.5,328.4,275.5,25858.3245,28125.3774
98751,242.4,195.4,254.9,287.4,244.7,267.4,367.6,295,317.3,245.9,319.7,250.1,25829.4613,28144.3939
99197,626.8,457.3,550.8,670.4,609.5,606.3,636.6,742.1,699.2,503.7,701.4,698.9,27016.0959,28152.9944
99206,658.4,399.3,559.6,649,553.9,524.8,586.6,659.9,643.9,464.6,644.3,649.3,26978.8963,28154.2663
99196,776.6,429.7,569.7,815.9,725.7,750.6,815.7,894,912.8,600.3,794.6,704.7,26990.4973,28154.8119
109024,0,0,0,0,0,0,0,0,0,0,0,0,25295.1362,28208.2626
99169,"1,209.70","1,045.30","1,081.00","1,146.30","1,010.70","1,275.00","1,147.30","1,120.70","1,050.00",0,0,0,25768.1654,28237.2475
109030,-,-,-,-,-,-,-,-,0,9.6,69.5,107.3,25141.5943,28240.9825
109258,302,462.2,451.1,542.1,543.5,490.7,521.2,586,605.4,572.3,670.5,637.4,25236.5445,28273.8275
99454,236.2,164.1,196.7,280.1,257,252.2,245.7,280.8,255.2,232.1,243.7,249.6,27350.0991,28303.6767
109025,-,-,-,-,-,-,-,0,0,4.7,40.8,75.5,25161.9272,28329.5701
109026,-,-,-,-,-,-,-,0,0,13.7,40.6,88.8,25118.2871,28331.857
99170,959.8,0,515.8,338.3,413.5,756.8,634.8,713,729.3,460.8,644,689.5,25902.6848,28390.8096
79119,74.7,186.6,254.5,318.3,403.4,425.1,405.5,434.4,394.4,459.8,409.4,408.4,29361.6132,28440.0998
88937,0,0,0,0,0,0,0,0,0,0,0,0,29028.3509,28454.6615
89314,"1,673.30","1,778.30","1,614.50","1,702.30","1,830.00","1,751.30","1,790.50","1,632.30","1,711.50","1,769.00","1,684.30","1,761.30",29021.0004,28490.0961
89312,"1,041.30",688.5,862.8,406.8,903.5,518.4,508.4,733,655,538,531.6,948.3,29033.5105,28490.4174
89313,"1,471.50","1,145.00","1,223.80","1,473.30","1,488.30","1,840.40","1,640.50","1,728.50","1,735.00","1,382.30","1,508.30","1,547.30",29027.4971,28491.5228
89311,"1,456.50","1,373.30","1,323.50","1,232.30","1,410.30","1,193.80","1,301.80","2,006.50","1,654.00","1,573.80","1,561.80","1,404.30",29039.994,28493.3783
89310,"1,569.30","1,049.80","1,225.30","1,649.50","1,594.00","1,760.80","1,677.30","1,762.50","1,700.00","1,314.30","1,458.50","1,244.00",29046.4775,28493.6422
79624,404.3,334.6,329.1,313.5,354.7,365.1,363,434.6,245.5,302.2,333.5,403.3,29414.1346,28526.9924
79718,12.5,23.4,53.7,110.1,169.2,190.4,201.5,285,269.7,267,287.4,337.2,29271.2909,28569.1784
79717,290.9,320.3,325.5,347.2,375.4,423.2,415.4,493.3,445.3,376.2,407.1,454.4,29224.3669,28576.4451
118510,0,0,0,0,0,0,0,0,0,0,0,0,23773.3312,28589.046
118509,0,0,0,0,0,0,0,0,0,0,0,0,23780.354,28589.1223
118511,0,0,0,0,0,0,0,0,0,0,0,0,23767.3151,28591.229
118512,0,0,0,0,0,0,0,0,0,0,0,0,23761.3202,28593.3765
118513,0,0,0,0,0,0,0,0,0,0,0,0,23756.1734,28597.6357
118514,-,-,-,-,-,-,-,-,-,-,0,0,23750.5294,28599.0647
118527,0,0,0,0,0,0,0,0,0,0,0,0,23716.4618,28611.9227
118531,0,0,0,0,0,0,0,0,0,0,0,0,23710.9271,28614.0246
78878,437.8,273.5,354.5,416,418.6,483,441.7,482.7,475.7,399.3,429.4,475.7,29244.0023,28627.3431
88660,437,251.7,313.4,421.6,356.8,416.9,438.7,451.6,466.2,395.1,440.4,472.9,28391.041,28638.5255
88271,811,593.4,628.8,739.1,769.1,807,794.8,977.2,842.4,789.8,791.6,623,28921.214,28663.9497
88642,5.7,14,42.9,111.5,145.5,185.8,205.3,257.3,257.8,241.7,259.9,254.1,28472.0209,28674.3666
79903,715.5,480.3,558.8,589.9,660.2,791.7,719.3,804.1,771.8,633.8,683,733,29406.343,28703.2721
89775,593.3,421.7,474.5,538.3,457.1,605.2,589.1,636.1,646.5,437.3,534.7,614.8,28797.12,28705.2785
89394,695.5,387.2,518.5,663,557.8,673.6,672.6,747.8,731.9,572.6,637.6,610.9,28539.9579,28713.8783
99310,883,582,693.4,824.4,733.6,860.2,891.6,718.6,881.4,814.9,869,762.7,26965.6609,28719.4974
118539,0,0,0,0,0,0,0,0,0,0,0,0,23561.3375,28722.6412
118541,0,0,0,0,0,0,0,0,0,0,0,0,23550.5206,28724.8981
118542,0,0,0,0,0,0,0,0,0,0,0,0,23544.3765,28728.33
118544,0,0,0,0,0,0,0,466,0,0,0,0,23539.3891,28730.2725
89919,0,0,0,0,0,0,0,0,0,0,0,0,28348.0091,28732.2847
118546,0,0,0,0,0,0,0,0,0,0,0,0,23528.4351,28732.5485
118545,0,0,0,0,0,0,0,0,0,0,0,0,23533.086,28732.6892
118548,0,0,0,0,0,0,0,0,0,0,0,0,23516.7766,28737.8596
89938,0,0,0,0,0,0,0,0,0,0,0,0,28293.4836,28739.2984
89905,0,0,0,0,0,0,0,0,0,0,0,0,28380.9925,28743.7548
89381,0,0,0,0,0,0,0,0,0,0,0,0,28461.745,28765.8262
89382,0,0,0,0,0,0,0,0,0,0,0,0,28480.9191,28767.7024
